Territorio;Anno;Valore
Piemonte;2004;0.68
Piemonte;2005;0.70
Piemonte;2006;0.72
Piemonte;2007;0.75
Piemonte;2008;0.74
Piemonte;2009;0.71
Piemonte;2010;0.70
Piemonte;2011;0.73
Piemonte;2012;0.75
Piemonte;2013;0.74
Piemonte;2014;0.76
Piemonte;2015;0.78
Piemonte;2016;0.80
Valle d'Aosta;2004;0.12
Valle d'Aosta;2005;0.13
Valle d'Aosta;2006;0.13
Valle d'Aosta;2007;0.14
Valle d'Aosta;2008;0.14
Valle d'Aosta;2009;0.13
Valle d'Aosta;2010;0.13
Valle d'Aosta;2011;0.14
Valle d'Aosta;2012;0.14
Valle d'Aosta;2013;0.14
Valle d'Aosta;2014;0.15
Valle d'Aosta;2015;0.15
Valle d'Aosta;2016;0.16
Liguria;2004;0.42
Liguria;2005;0.43
Liguria;2006;0.44
Liguria;2007;0.46
Liguria;2008;0.45
Liguria;2009;0.43
Liguria;2010;0.43
Liguria;2011;0.44
Liguria;2012;0.45
Liguria;2013;0.45
Liguria;2014;0.46
Liguria;2015;0.47
Liguria;2016;0.48
Lombardia;2004;0.87
Lombardia;2005;0.89
Lombardia;2006;0.91
Lombardia;2007;0.95
Lombardia;2008;0.94
Lombardia;2009;0.90
Lombardia;2010;0.89
Lombardia;2011;0.92
Lombardia;2012;0.95
Lombardia;2013;0.94
Lombardia;2014;0.96
Lombardia;2015;0.99
Lombardia;2016;1.02
Trentino-Alto Adige;2004;0.55
Trentino-Alto Adige;2005;0.57
Trentino-Alto Adige;2006;0.58
Trentino-Alto Adige;2007;0.61
Trentino-Alto Adige;2008;0.60
Trentino-Alto Adige;2009;0.58
Trentino-Alto Adige;2010;0.57
Trentino-Alto Adige;2011;0.59
Trentino-Alto Adige;2012;0.61
Trentino-Alto Adige;2013;0.60
Trentino-Alto Adige;2014;0.62
Trentino-Alto Adige;2015;0.64
Trentino-Alto Adige;2016;0.66
Veneto;2004;0.63
Veneto;2005;0.65
Veneto;2006;0.67
Veneto;2007;0.70
Veneto;2008;0.69
Veneto;2009;0.66
Veneto;2010;0.65
Veneto;2011;0.68
Veneto;2012;0.70
Veneto;2013;0.69
Veneto;2014;0.71
Veneto;2015;0.73
Veneto;2016;0.75
Friuli-Venezia Giulia;2004;0.52
Friuli-Venezia Giulia;2005;0.54
Friuli-Venezia Giulia;2006;0.55
Friuli-Venezia Giulia;2007;0.58
